Year,State,Population
2000,Alabama,4452173
2001,Alabama,4467634
2002,Alabama,4480089
2003,Alabama,4503491
2004,Alabama,4530729
2005,Alabama,4569805
2006,Alabama,4628981
2007,Alabama,4672840
2008,Alabama,4718206
2009,Alabama,4757938
2010,Alabama,4785298
2000,Alaska,627963
2001,Alaska,633714
2002,Alaska,642337
2003,Alaska,648414
2004,Alaska,659286
2005,Alaska,666946
2006,Alaska,675302
2007,Alaska,680300
2008,Alaska,687455
2009,Alaska,698895
2010,Alaska,713985
2000,Arizona,5160586
2001,Arizona,5273477
2002,Arizona,5396255
2003,Arizona,5510364
2004,Arizona,5652404
2005,Arizona,5839077
2006,Arizona,6029141
2007,Arizona,6167681
2008,Arizona,6280362
2009,Arizona,6343154
2010,Arizona,6413737
2000,Arkansas,2678588
2001,Arkansas,2691571
2002,Arkansas,2705927
2003,Arkansas,2724816
2004,Arkansas,2749686
2005,Arkansas,2781097
2006,Arkansas,2821761
2007,Arkansas,2848650
2008,Arkansas,2874554
2009,Arkansas,2896843
2010,Arkansas,2921606
2000,California,33987977
2001,California,34479458
2002,California,34871843
2003,California,35253159
2004,California,35574576
2005,California,35827943
2006,California,36021202
2007,California,36250311
2008,California,36604337
2009,California,36961229
2010,California,37349363
2000,Colorado,4326921
2001,Colorado,4425687
2002,Colorado,4490406
2003,Colorado,4528732
2004,Colorado,4575013
2005,Colorado,4631888
2006,Colorado,4720423
2007,Colorado,4803868
2008,Colorado,4889730
2009,Colorado,4972195
2010,Colorado,5049071
2000,Connecticut,3411777
2001,Connecticut,3432835
2002,Connecticut,3458749
2003,Connecticut,3484336
2004,Connecticut,3496094
2005,Connecticut,3506956
2006,Connecticut,3517460
2007,Connecticut,3527270
2008,Connecticut,3545579
2009,Connecticut,3561807
2010,Connecticut,3577073
2000,Delaware,786373
2001,Delaware,795699
2002,Delaware,806169
2003,Delaware,818003
2004,Delaware,830803
2005,Delaware,845150
2006,Delaware,859268
2007,Delaware,871749
2008,Delaware,883874
2009,Delaware,891730
2010,Delaware,899769
2000,District of Columbia,572046
2001,District of Columbia,574504
2002,District of Columbia,573158
2003,District of Columbia,568502
2004,District of Columbia,567754
2005,District of Columbia,567136
2006,District of Columbia,570681
2007,District of Columbia,574404
2008,District of Columbia,580236
2009,District of Columbia,592228
2010,District of Columbia,604453
2000,Florida,16047515
2001,Florida,16356966
2002,Florida,16689370
2003,Florida,17004085
2004,Florida,17415318
2005,Florida,17842038
2006,Florida,18166990
2007,Florida,18367842
2008,Florida,18527305
2009,Florida,18652644
2010,Florida,18843326
2000,Georgia,8227303
2001,Georgia,8377038
2002,Georgia,8508256
2003,Georgia,8622793
2004,Georgia,8769252
2005,Georgia,8925922
2006,Georgia,9155813
2007,Georgia,9349988
2008,Georgia,9504843
2009,Georgia,9620846
2010,Georgia,9712587
2000,Hawaii,1213519
2001,Hawaii,1225948
2002,Hawaii,1239613
2003,Hawaii,1251154
2004,Hawaii,1273569
2005,Hawaii,1292729
2006,Hawaii,1309731
2007,Hawaii,1315675
2008,Hawaii,1332213
2009,Hawaii,1346717
2010,Hawaii,1363621
2000,Idaho,1299430
2001,Idaho,1319962
2002,Idaho,1340372
2003,Idaho,1363380
2004,Idaho,1391802
2005,Idaho,1428241
2006,Idaho,1468669
2007,Idaho,1505105
2008,Idaho,1534320
2009,Idaho,1554439
2010,Idaho,1571450
2000,Illinois,12434161
2001,Illinois,12488445
2002,Illinois,12525556
2003,Illinois,12556006
2004,Illinois,12589773
2005,Illinois,12609903
2006,Illinois,12643955
2007,Illinois,12695866
2008,Illinois,12747038
2009,Illinois,12796778
2010,Illinois,12843166
2000,Indiana,6091866
2001,Indiana,6127760
2002,Indiana,6155967
2003,Indiana,6196638
2004,Indiana,6233007
2005,Indiana,6278616
2006,Indiana,6332669
2007,Indiana,6379599
2008,Indiana,6424806
2009,Indiana,6459325
2010,Indiana,6490621
2000,Iowa,2929067
2001,Iowa,2931997
2002,Iowa,2934234
2003,Iowa,2941999
2004,Iowa,2953635
2005,Iowa,2964454
2006,Iowa,2982644
2007,Iowa,2999212
2008,Iowa,3016734
2009,Iowa,3032870
2010,Iowa,3049883
2000,Kansas,2693681
2001,Kansas,2702162
2002,Kansas,2713535
2003,Kansas,2723004
2004,Kansas,2734373
2005,Kansas,2745299
2006,Kansas,2762931
2007,Kansas,2783785
2008,Kansas,2808076
2009,Kansas,2832704
2010,Kansas,2859169
2000,Kentucky,4049021
2001,Kentucky,4068132
2002,Kentucky,4089875
2003,Kentucky,4117170
2004,Kentucky,4146101
2005,Kentucky,4182742
2006,Kentucky,4219239
2007,Kentucky,4256672
2008,Kentucky,4289878
2009,Kentucky,4317074
2010,Kentucky,4346266
2000,Louisiana,4471885
2001,Louisiana,4477875
2002,Louisiana,4497267
2003,Louisiana,4521042
2004,Louisiana,4552238
2005,Louisiana,4576628
2006,Louisiana,4302665
2007,Louisiana,4375581
2008,Louisiana,4435586
2009,Louisiana,4491648
2010,Louisiana,4544228
2000,Maine,1277072
2001,Maine,1285692
2002,Maine,1295960
2003,Maine,1306513
2004,Maine,1313688
2005,Maine,1318787
2006,Maine,1323619
2007,Maine,1327040
2008,Maine,1330509
2009,Maine,1329590
2010,Maine,1327567
2000,Maryland,5311034
2001,Maryland,5374691
2002,Maryland,5440389
2003,Maryland,5496269
2004,Maryland,5546935
2005,Maryland,5592379
2006,Maryland,5627367
2007,Maryland,5653408
2008,Maryland,5684965
2009,Maryland,5730388
2010,Maryland,5785982
2000,Massachusetts,6361104
2001,Massachusetts,6397634
2002,Massachusetts,6417206
2003,Massachusetts,6422565
2004,Massachusetts,6412281
2005,Massachusetts,6403290
2006,Massachusetts,6410084
2007,Massachusetts,6431559
2008,Massachusetts,6468967
2009,Massachusetts,6517613
2010,Massachusetts,6557254
2000,Michigan,9952450
2001,Michigan,9991120
2002,Michigan,10015710
2003,Michigan,10041152
2004,Michigan,10055315
2005,Michigan,10051137
2006,Michigan,10036081
2007,Michigan,10001284
2008,Michigan,9946889
2009,Michigan,9901591
2010,Michigan,9877574
2000,Minnesota,4933692
2001,Minnesota,4982796
2002,Minnesota,5018935
2003,Minnesota,5053572
2004,Minnesota,5087713
2005,Minnesota,5119598
2006,Minnesota,5163555
2007,Minnesota,5207203
2008,Minnesota,5247018
2009,Minnesota,5281203
2010,Minnesota,5310584
2000,Mississippi,2848353
2001,Mississippi,2852994
2002,Mississippi,2858681
2003,Mississippi,2868312
2004,Mississippi,2889010
2005,Mississippi,2905943
2006,Mississippi,2904978
2007,Mississippi,2928350
2008,Mississippi,2947806
2009,Mississippi,2958774
2010,Mississippi,2970036
2000,Missouri,5607285
2001,Missouri,5641142
2002,Missouri,5674825
2003,Missouri,5709403
2004,Missouri,5747741
2005,Missouri,5790300
2006,Missouri,5842704
2007,Missouri,5887612
2008,Missouri,5923916
2009,Missouri,5961088
2010,Missouri,5996231
2000,Montana,903773
2001,Montana,906961
2002,Montana,911667
2003,Montana,919630
2004,Montana,930009
2005,Montana,940102
2006,Montana,952692
2007,Montana,964706
2008,Montana,976415
2009,Montana,983982
2010,Montana,990898
2000,Nebraska,1713820
2001,Nebraska,1719836
2002,Nebraska,1728292
2003,Nebraska,1738643
2004,Nebraska,1749370
2005,Nebraska,1761497
2006,Nebraska,1772693
2007,Nebraska,1783440
2008,Nebraska,1796378
2009,Nebraska,1812683
2010,Nebraska,1830429
2000,Nevada,2018741
2001,Nevada,2098399
2002,Nevada,2173791
2003,Nevada,2248850
2004,Nevada,2346222
2005,Nevada,2432143
2006,Nevada,2522658
2007,Nevada,2601072
2008,Nevada,2653630
2009,Nevada,2684665
2010,Nevada,2704642
2000,New Hampshire,1239882
2001,New Hampshire,1255517
2002,New Hampshire,1269089
2003,New Hampshire,1279840
2004,New Hampshire,1290121
2005,New Hampshire,1298492
2006,New Hampshire,1308389
2007,New Hampshire,1312540
2008,New Hampshire,1315906
2009,New Hampshire,1316102
2010,New Hampshire,1316759
2000,New Jersey,8430621
2001,New Jersey,8492671
2002,New Jersey,8552643
2003,New Jersey,8601402
2004,New Jersey,8634561
2005,New Jersey,8651974
2006,New Jersey,8661679
2007,New Jersey,8677885
2008,New Jersey,8711090
2009,New Jersey,8755602
2010,New Jersey,8801624
2000,New Mexico,1821204
2001,New Mexico,1831690
2002,New Mexico,1855309
2003,New Mexico,1877574
2004,New Mexico,1903808
2005,New Mexico,1932274
2006,New Mexico,1962137
2007,New Mexico,1990070
2008,New Mexico,2010662
2009,New Mexico,2036802
2010,New Mexico,2065932
2000,New York,19001780
2001,New York,19082838
2002,New York,19137800
2003,New York,19175939
2004,New York,19171567
2005,New York,19132610
2006,New York,19104631
2007,New York,19132335
2008,New York,19212436
2009,New York,19307066
2010,New York,19392283
2000,North Carolina,8081614
2001,North Carolina,8210122
2002,North Carolina,8326201
2003,North Carolina,8422501
2004,North Carolina,8553152
2005,North Carolina,8705407
2006,North Carolina,8917270
2007,North Carolina,9118037
2008,North Carolina,9309449
2009,North Carolina,9449566
2010,North Carolina,9561558
2000,North Dakota,642023
2001,North Dakota,639062
2002,North Dakota,638168
2003,North Dakota,638817
2004,North Dakota,644705
2005,North Dakota,646089
2006,North Dakota,649422
2007,North Dakota,652822
2008,North Dakota,657569
2009,North Dakota,664968
2010,North Dakota,674499
2000,Ohio,11363543
2001,Ohio,11387404
2002,Ohio,11407889
2003,Ohio,11434788
2004,Ohio,11452251
2005,Ohio,11463320
2006,Ohio,11481213
2007,Ohio,11500468
2008,Ohio,11515391
2009,Ohio,11528896
2010,Ohio,11536182
2000,Oklahoma,3454365
2001,Oklahoma,3467100
2002,Oklahoma,3489080
2003,Oklahoma,3504892
2004,Oklahoma,3525233
2005,Oklahoma,3548597
2006,Oklahoma,3594090
2007,Oklahoma,3634349
2008,Oklahoma,3668976
2009,Oklahoma,3717572
2010,Oklahoma,3761702
2000,Oregon,3429708
2001,Oregon,3467937
2002,Oregon,3513424
2003,Oregon,3547376
2004,Oregon,3569463
2005,Oregon,3613202
2006,Oregon,3670883
2007,Oregon,3722417
2008,Oregon,3768748
2009,Oregon,3808600
2010,Oregon,3838957
2000,Pennsylvania,12284173
2001,Pennsylvania,12298970
2002,Pennsylvania,12331031
2003,Pennsylvania,12374658
2004,Pennsylvania,12410722
2005,Pennsylvania,12449990
2006,Pennsylvania,12510809
2007,Pennsylvania,12563937
2008,Pennsylvania,12612285
2009,Pennsylvania,12666858
2010,Pennsylvania,12709630
2000,Rhode Island,1050268
2001,Rhode Island,1057142
2002,Rhode Island,1065995
2003,Rhode Island,1071342
2004,Rhode Island,1074579
2005,Rhode Island,1067916
2006,Rhode Island,1063096
2007,Rhode Island,1057315
2008,Rhode Island,1055003
2009,Rhode Island,1053646
2010,Rhode Island,1052886
2000,South Carolina,4024223
2001,South Carolina,4064995
2002,South Carolina,4107795
2003,South Carolina,4150297
2004,South Carolina,4210921
2005,South Carolina,4270150
2006,South Carolina,4357847
2007,South Carolina,4444110
2008,South Carolina,4528996
2009,South Carolina,4589872
2010,South Carolina,4636312
2000,South Dakota,755844
2001,South Dakota,757972
2002,South Dakota,760020
2003,South Dakota,763729
2004,South Dakota,770396
2005,South Dakota,775493
2006,South Dakota,783033
2007,South Dakota,791623
2008,South Dakota,799124
2009,South Dakota,807067
2010,South Dakota,816463
2000,Tennessee,5703719
2001,Tennessee,5750789
2002,Tennessee,5795918
2003,Tennessee,5847812
2004,Tennessee,5910809
2005,Tennessee,5991057
2006,Tennessee,6088766
2007,Tennessee,6175727
2008,Tennessee,6247411
2009,Tennessee,6306019
2010,Tennessee,6356897
2000,Texas,20944499
2001,Texas,21319622
2002,Texas,21690325
2003,Texas,22030931
2004,Texas,22394023
2005,Texas,22778123
2006,Texas,23359580
2007,Texas,23831983
2008,Texas,24309039
2009,Texas,24801761
2010,Texas,25257114
2000,Utah,2244502
2001,Utah,2283715
2002,Utah,2324815
2003,Utah,2360137
2004,Utah,2401580
2005,Utah,2457719
2006,Utah,2525507
2007,Utah,2597746
2008,Utah,2663029
2009,Utah,2723421
2010,Utah,2776469
2000,Vermont,609618
2001,Vermont,612223
2002,Vermont,615442
2003,Vermont,617858
2004,Vermont,619920
2005,Vermont,621215
2006,Vermont,622892
2007,Vermont,623481
2008,Vermont,624151
2009,Vermont,624817
2010,Vermont,625960
2000,Virginia,7105817
2001,Virginia,7198362
2002,Virginia,7286873
2003,Virginia,7366977
2004,Virginia,7475575
2005,Virginia,7577105
2006,Virginia,7673725
2007,Virginia,7751000
2008,Virginia,7833496
2009,Virginia,7925937
2010,Virginia,8024617
2000,Washington,5910512
2001,Washington,5985722
2002,Washington,6052349
2003,Washington,6104115
2004,Washington,6178645
2005,Washington,6257305
2006,Washington,6370753
2007,Washington,6461587
2008,Washington,6562231
2009,Washington,6667426
2010,Washington,6744496
2000,West Virginia,1807021
2001,West Virginia,1801481
2002,West Virginia,1805414
2003,West Virginia,1812295
2004,West Virginia,1816438
2005,West Virginia,1820492
2006,West Virginia,1827912
2007,West Virginia,1834052
2008,West Virginia,1840310
2009,West Virginia,1847775
2010,West Virginia,1853973
2000,Wisconsin,5373999
2001,Wisconsin,5406835
2002,Wisconsin,5445162
2003,Wisconsin,5479203
2004,Wisconsin,5514026
2005,Wisconsin,5546166
2006,Wisconsin,5577655
2007,Wisconsin,5610775
2008,Wisconsin,5640996
2009,Wisconsin,5669264
2010,Wisconsin,5691047
2000,Wyoming,494300
2001,Wyoming,494657
2002,Wyoming,500017
2003,Wyoming,503453
2004,Wyoming,509106
2005,Wyoming,514157
2006,Wyoming,522667
2007,Wyoming,534876
2008,Wyoming,546043
2009,Wyoming,559851
2010,Wyoming,564460
